order,id,parent,beginLine,beginColumn,endLine,endColumn,fullPath,CCid
4,71,TestOperatoren.java,71,8,71,74,/src/smallsql/junit/TestOperatoren.java,9
4,77,TestOperatoren.java,77,8,77,86,/src/smallsql/junit/TestOperatoren.java,7
4,173,SQLTokenizer.java,173,32,176,33,/src/smallsql/database/SQLTokenizer.java,59
4,221,ExpressionValue.java,221,7,221,94,/src/smallsql/database/ExpressionValue.java,25
4,79,TestJoins.java,79,8,79,86,/src/smallsql/junit/TestJoins.java,7
4,674,BenchTest.java,674,12,674,67,/src/smallsql/junit/BenchTest.java,2
1,smallsql,src,0,0,0,0,/src/smallsql,-1
4,280,TestDBMetaData.java,280,29,280,220,/src/smallsql/junit/TestDBMetaData.java,44
4,821,SSDatabaseMetaData.java,821,3,821,234,/src/smallsql/database/SSDatabaseMetaData.java,47
4,103,Index.java,103,12,106,50,/src/smallsql/database/Index.java,3
3,SSCallableStatement.java,database,0,0,0,0,/src/smallsql/database/SSCallableStatement.java,-1
4,249,SSPreparedStatement.java,249,4,252,5,/src/smallsql/database/SSPreparedStatement.java,60
0,src,,0,0,0,0,/src,-1
4,187,TestOrderBy.java,187,2,192,3,/src/smallsql/junit/TestOrderBy.java,5
3,SQLParser.java,database,0,0,0,0,/src/smallsql/database/SQLParser.java,-1
4,462,CommandSelect.java,462,23,462,95,/src/smallsql/database/CommandSelect.java,73
4,455,TestOrderBy.java,455,3,458,4,/src/smallsql/junit/TestOrderBy.java,86
4,315,BasicTestCase.java,315,4,315,90,/src/smallsql/junit/BasicTestCase.java,18
4,267,TestOperatoren.java,267,75,273,5,/src/smallsql/junit/TestOperatoren.java,50
3,TestScrollable.java,junit,0,0,0,0,/src/smallsql/junit/TestScrollable.java,-1
4,110,TestDBMetaData.java,110,17,110,172,/src/smallsql/junit/TestDBMetaData.java,22
4,516,MutableNumeric.java,516,16,516,51,/src/smallsql/database/MutableNumeric.java,66
